Original-Name,Spotify-Name,Spotify-ID,Genres
Eurythmics,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,new-wave;-synthpop
Evanescence,Evanescence,5nGIFgo0shDenQYSE0Sn7c,alternative-metal
Extremoduro,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,
Faith-Hill,Faith-Hill,25NQNriVT2YbSW80ILRWJa,country
Faithless,Faithless,5T4UKHhr4HGIC0VzdZQtAE,trip-hop
Fangoria,Fangoria,7CJiKj8TrQSms0WSCKbHm4,
Fats-Domino,Fats-Domino,09C0xjtosNAIXP36wTnWxd,rock-and-roll;-doo-wop;-rockabilly;-boogie-woogie
Fine-Young-Cannibals,Fine-Young-Cannibals,20p5D2KrE8CGuOjHtxsyTp,
Fito-Páez,Fito-Paez,1bZNv4q3OxYq7mmnLha7Tu,argentine-rock;-latin-rock;-rock-en-español;-trova
Fito-y-Fitipaldis,Fito-y-Fitipaldis,1tZ99AnqyjgrmPwLfGU5eo,
Fleetwood-Mac,Fleetwood-Mac,08GQAI4eElDnROBrJRGE0X,classic-rock;-soft-rock
Flo-Rida,Flo-Rida,0jnsk9HBra6NMjO2oANoPY,
Foo-Fighters,Foo-Fighters,7jy3rLJdDQY21OgRLCZ9sD,rock;-post-grunge;-alternative-rock;-grunge;-modern-rock
Fran-Perea,Fran-Perea,5ZmqtSfV4bMseeYE96i7Nt,
Franco-Battiato,Franco-Battiato,4lianjyuR1tqf6oUX8kjrZ,italian-singer-songwriter;-singer-songwriter
Frank-Ocean,Frank-Ocean,2h93pZq0e7k5yf4dywlkpM,
Frank-Sinatra,Frank-Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,christmas;-big-band;-adult-standards;-swing-music;-vocal-jazz;-jazz
Frank-Zappa,Frank-Zappa,6ra4GIOgCZQZMOaUECftGN,progressive-rock;-art-rock;-jazz-fusion;-psychedelic-rock;-avant-garde;-experimental;-symphonic-rock
Franz-Ferdinand,Franz-Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,indie-rock
Freddie-Mercury,Freddie-Mercury,4M1FpEWs2PeYfJe7xxJfhH,
Fugees,Fugees,2WKdxPFRD7IqZvlIAvhMgY,east-coast-hip-hop
Gabinete-Caligari,Gabinete-Caligari,112QHbB1xApqwVJR6n20xy,
Garbage,Garbage,6S0GHTqz5sxK5f9HtLXn9q,
Gemeliers,Gemeliers,3W50twtHMESiHoOf2wHgfw,
Genesis,Genesis,3CkvROUTQ6nRi9yQOcsB50,progressive-rock;-symphonic-rock;-art-rock
George-Benson,George-Benson,4N8BwYTEC6XqykGvXXlmfv,smooth-jazz;-jazz-funk;-soul-jazz
George-Harrison,George-Harrison,7FIoB5PHdrMZVC3q2HE5MS,
George-Michael,George-Michael,19ra5tSw0tWufvUp8GotLo,
Geri-Halliwell,Geri-Halliwell,5orH1OWgjAYUX8sZ5gihTv,
Gilberto-Gil,Gilberto-Santa-Rosa,27vNK840zYq6IfDijHPsv1,salsa;-salsa-romantica;-merengue
Gisela,Gisela,6SxnKPhYvkTKp2FtBzh6CI,
Gloria-Estefan,Gloria-Estefan,5IFCkqu9J6xdWeYMk5I889,
Gloria-Gaynor,Gloria-Gaynor,6V6WCgi7waF55bJmylC4H5,disco
Gloria-Trevi,Gloria-Trevi,1Db5GsIoVWYktPoD2nnPZZ,latin-pop
Gorillaz,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,
Grace-Jones,Grace-Jones,2f9ZiYA2ic1r1voObUimdd,art-pop
Green-Day,Green-Day,7oPftvlwr6VrsViSDV7fJY,punk;-pop-punk
Guaraná,Guaraná,14xTevnO8kfFWuP8pXiykn,
Guns-N'-Roses,Guns-N'-Roses,3qm84nBOXUEQ2vnTfUTTFC,rock;-glam-metal;-hard-rock;-classic-rock
Gwen-Stefani,Gwen-Stefani,4yiQZ8tQPux8cPriYMWUFP,
Iggy-Azalea,Iggy-Azalea,5yG7ZAZafVaAlMTeBybKAL,
Iggy-Pop,Iggy-Pop,33EUXrFKGjpUSGacqEHhU4,proto-punk;-glam-rock
Il-Divo,Il-Divo,3KNZ9AOjBajjmr6ZR2VGfl,opera
Imagine-Dragons,Imagine-Dragons,53XhwfbYqKCa1cC15pYq2q,
Incubus,Incubus,3YcBF2ttyueytpXtEzn1Za,nu-metal;-funk-rock;-alternative-metal;-alternative-rock
India-Martínez,India-Martinez,6FOpWOxsjQxKEbLiJpU1xV,flamenco;-flamenco-pop
Inxs,INXS,1eClJfHLoDI4rZe5HxzBFv,
